Label,Distance,StrafingIntensity,AngularVelocity,ReactionTime
AI,4.726,0.200,5.535,-2.000
AI,4.785,0.200,3.884,-2.000
AI,4.844,0.200,2.724,-2.000
AI,4.903,0.200,1.912,-2.000
AI,4.962,0.316,1.346,-2.000
AI,4.978,0.316,22.354,-2.000
AI,4.993,0.316,15.625,-2.000
AI,5.009,0.316,10.915,-2.000
AI,5.025,0.316,7.594,-2.000
AI,5.041,0.302,5.309,-2.000
AI,4.996,0.302,15.626,-2.000
AI,4.952,0.302,10.999,-2.000
AI,4.907,0.302,7.740,-2.000
AI,4.863,0.302,5.497,-2.000
AI,4.819,0.391,3.919,-2.000
AI,4.837,0.391,12.092,-2.000
AI,4.856,0.391,8.442,-2.000
AI,4.875,0.391,5.941,-2.000
AI,4.894,0.391,4.178,-2.000
AI,4.912,0.502,2.943,-2.000
AI,4.903,0.502,8.668,-2.000
AI,4.894,0.502,6.083,-2.000
AI,4.885,0.502,4.262,-2.000
AI,4.876,0.502,2.988,-2.000
AI,4.867,0.565,2.102,-2.000
AI,4.850,0.565,8.284,-2.000
AI,4.833,0.565,5.861,-2.000
AI,4.817,0.565,4.158,-2.000
AI,4.801,0.565,2.969,-2.000
AI,4.785,0.493,2.144,-2.000
AI,4.756,0.493,15.812,-2.000
AI,4.728,0.493,11.091,-2.000
AI,4.700,0.493,7.766,-2.000
AI,4.672,0.493,5.481,-2.000
AI,4.644,0.469,3.876,-2.000
AI,4.652,0.469,3.654,-2.000
AI,4.659,0.469,2.458,-2.000
AI,4.667,0.469,1.625,-2.000
AI,4.675,0.469,1.051,-2.000
AI,4.682,0.463,0.663,-2.000
AI,4.656,0.463,12.109,-2.000
AI,4.629,0.463,8.492,-2.000
AI,4.602,0.463,6.013,-2.000
AI,4.576,0.463,4.269,-2.000
AI,4.549,0.520,3.049,-2.000
AI,4.556,0.520,7.850,-2.000
AI,4.563,0.520,5.578,-2.000
AI,4.571,0.520,3.981,-2.000
AI,4.578,0.520,2.866,-2.000
AI,4.585,0.493,2.091,-2.000
AI,4.599,0.493,7.797,-2.000
AI,4.612,0.493,5.424,-2.000
AI,4.623,0.493,3.756,-2.000
AI,4.631,0.493,2.590,-2.000
AI,4.637,0.528,1.781,-2.000
AI,4.642,0.528,6.518,-2.000
AI,4.645,0.528,4.573,-2.000
AI,4.646,0.528,3.213,-2.000
AI,4.644,0.528,2.269,-2.000
AI,4.641,0.493,1.622,-2.000
AI,4.641,0.493,4.808,-2.000
AI,4.639,0.493,3.263,-2.000
AI,4.635,0.493,2.183,-2.000
AI,4.629,0.493,1.435,-2.000
AI,4.621,0.446,0.930,-2.000
AI,4.617,0.446,6.319,-2.000
AI,4.611,0.446,4.434,-2.000
AI,4.603,0.446,3.117,-2.000
AI,4.593,0.446,2.207,-2.000
AI,4.581,0.497,1.586,-2.000
AI,4.593,0.497,5.300,-2.000
AI,4.604,0.497,3.791,-2.000
AI,4.612,0.497,2.745,-2.000
AI,4.620,0.497,2.030,-2.000
AI,4.625,0.427,1.552,-2.000
AI,4.652,0.427,10.513,-2.000
AI,4.677,0.427,7.344,-2.000
AI,4.701,0.427,5.169,-2.000
AI,4.724,0.427,3.648,-2.000
AI,4.744,0.347,2.598,-2.000
AI,4.778,0.347,13.690,-2.000
AI,4.810,0.347,9.596,-2.000
AI,4.840,0.347,6.720,-2.000
AI,4.870,0.347,4.742,-2.000
AI,4.898,0.340,3.364,-2.000
AI,4.860,0.340,7.089,-2.000
AI,4.822,0.340,5.000,-2.000
AI,4.783,0.340,3.547,-2.000
AI,4.743,0.340,2.551,-2.000
AI,4.703,0.446,1.888,-2.000
AI,4.686,0.446,11.540,-2.000
AI,4.669,0.446,8.084,-2.000
AI,4.653,0.446,5.727,-2.000
AI,4.637,0.446,4.091,-2.000
AI,4.621,0.411,2.978,-2.000
AI,4.617,0.411,3.392,-2.000
AI,4.615,0.411,2.443,-2.000
AI,4.613,0.411,1.845,-2.000
AI,4.612,0.411,1.505,-2.000
AI,4.613,0.339,1.345,-2.000
AI,4.582,0.339,5.193,-2.000
AI,4.613,0.339,3.654,-2.000
AI,4.587,0.339,2.589,-2.000
AI,4.560,0.339,1.860,-2.000
AI,4.534,0.334,1.370,-2.000
AI,4.513,0.334,7.174,-2.000
AI,4.492,0.334,5.068,-2.000
AI,4.472,0.334,3.601,-2.000
AI,4.453,0.334,2.593,-2.000
AI,4.435,0.335,1.914,-2.000
AI,4.300,0.335,21.351,-2.000
AI,4.165,0.335,14.997,-2.000
AI,4.030,0.335,10.550,-2.000
AI,3.894,0.335,7.419,-2.000
AI,3.758,0.238,5.264,-2.000
AI,3.733,0.238,18.335,-2.000
AI,3.709,0.238,12.712,-2.000
AI,3.687,0.238,8.739,-2.000
AI,3.666,0.238,6.032,-2.000
AI,3.647,0.238,4.135,-2.000
AI,3.524,0.238,18.813,-2.000
AI,3.402,0.238,13.216,-2.000
AI,3.281,0.238,9.266,-2.000
AI,3.160,0.238,6.579,-2.000
AI,3.040,0.200,4.697,-2.000
AI,2.893,0.200,11.580,-2.000
AI,2.747,0.200,8.172,-2.000
AI,2.601,0.200,5.842,-2.000
AI,2.456,0.200,4.218,-2.000
AI,2.312,0.006,3.105,-2.000
AI,2.166,0.006,2.834,-2.000
AI,2.020,0.006,1.974,-2.000
AI,1.875,0.006,1.350,-2.000
AI,1.732,0.006,0.894,-2.000
AI,1.589,0.532,27.814,0.680
AI,1.337,0.532,22.982,-2.000
AI,1.361,0.532,16.088,-2.000
AI,1.371,0.532,11.261,-2.000
AI,1.373,0.532,7.857,-2.000
AI,1.376,0.532,5.517,-2.000
AI,1.399,0.150,7.191,-2.000
AI,1.364,0.150,12.096,-2.000
AI,1.332,0.150,8.431,-2.000
AI,1.303,0.150,5.788,-2.000
AI,1.278,0.242,3.860,-2.000
AI,1.187,0.242,16.845,-2.000
AI,1.165,0.242,11.777,-2.000
AI,1.141,0.242,8.203,-2.000
AI,1.132,0.242,5.755,-2.000
AI,1.146,0.102,4.032,-2.000
AI,1.134,0.102,13.297,-2.000
AI,1.127,0.102,9.276,-2.000
AI,1.141,0.102,6.528,-2.000
AI,1.156,0.102,4.584,-2.000
AI,1.172,0.085,3.216,-2.000
AI,1.275,0.085,7.649,-2.000
AI,1.381,0.085,5.373,-2.000
AI,1.487,0.085,3.774,-2.000
AI,1.595,0.085,2.654,-2.000
AI,1.704,0.175,1.873,-2.000
AI,1.615,0.175,17.079,-2.000
AI,1.527,0.175,12.012,-2.000
AI,1.442,0.175,8.463,-2.000
AI,1.359,0.175,6.076,-2.000
AI,1.325,0.332,4.444,-2.000
AI,1.311,0.332,22.482,-2.000
AI,1.303,0.332,15.713,-2.000
AI,1.290,0.332,10.963,-2.000
AI,1.273,0.332,7.613,-2.000
AI,1.256,0.208,5.341,-2.000
AI,1.230,0.208,12.965,-2.000
AI,1.213,0.208,9.316,-2.000
AI,1.200,0.208,6.937,-2.000
AI,1.207,0.208,5.250,-2.000
AI,1.238,0.186,3.951,-2.000
AI,1.223,0.186,10.393,-2.000
AI,1.204,0.186,7.200,-2.000
AI,1.188,0.186,5.056,-2.000
AI,1.177,0.186,3.682,-2.000
AI,1.203,0.394,2.717,-2.000
AI,1.242,0.394,38.657,-2.000
AI,1.287,0.394,27.262,-2.000
AI,1.334,0.394,19.319,-2.000
AI,1.385,0.394,13.797,-2.000
AI,1.437,0.113,9.938,-2.000
AI,1.460,0.113,35.549,-2.000
AI,1.484,0.113,24.624,-2.000
AI,1.519,0.113,17.022,-2.000
AI,1.549,0.113,11.720,-2.000
AI,1.579,0.041,7.997,-2.000
AI,1.558,0.041,9.118,-2.000
AI,1.539,0.041,6.442,-2.000
AI,1.523,0.041,4.587,-2.000
AI,1.510,0.041,3.344,-2.000
AI,1.499,0.004,2.564,-2.000
AI,1.387,0.004,25.396,-2.000
AI,1.275,0.004,17.769,-2.000
AI,1.291,0.004,12.431,-2.000
AI,1.290,0.004,8.660,-2.000
AI,1.286,0.039,6.313,-2.000
AI,1.275,0.039,13.961,-2.000
AI,1.271,0.039,9.773,-2.000
AI,1.270,0.039,6.824,-2.000
AI,1.268,0.039,4.788,-2.000
AI,1.267,0.039,3.355,-2.000
AI,1.354,0.051,2.353,-2.000
AI,1.432,0.051,11.467,-2.000
AI,1.512,0.051,8.045,-2.000
AI,1.592,0.051,5.702,-2.000
AI,1.674,0.113,4.060,-2.000
AI,1.581,0.113,15.717,-2.000
AI,1.491,0.113,11.022,-2.000
AI,1.403,0.113,7.733,-2.000
AI,1.317,0.113,5.512,-2.000
AI,1.235,0.140,4.030,-2.000
AI,1.209,0.140,2.625,-2.000
AI,1.200,0.140,1.653,-2.000
AI,1.220,0.140,1.133,-2.000
AI,1.243,0.140,0.893,-2.000
AI,1.263,0.078,0.874,-2.000
AI,1.258,0.078,5.464,-2.000
AI,1.248,0.078,3.873,-2.000
AI,1.237,0.078,2.748,-2.000
AI,1.225,0.078,1.953,-2.000
AI,1.213,0.026,1.391,-2.000
AI,1.205,0.026,6.417,-2.000
AI,1.198,0.026,4.499,-2.000
AI,1.190,0.026,3.151,-2.000
AI,1.183,0.026,2.206,-2.000
AI,1.176,0.248,1.543,-2.000
AI,1.168,0.248,20.806,-2.000
AI,1.161,0.248,14.732,-2.000
AI,1.179,0.248,10.448,-2.000
AI,1.210,0.248,7.391,-2.000
AI,1.238,0.293,5.298,-2.000
AI,1.222,0.293,13.044,-2.000
AI,1.197,0.293,9.082,-2.000
AI,1.173,0.293,6.399,-2.000
AI,1.145,0.293,4.593,-2.000
AI,1.144,0.110,3.319,-2.000
AI,1.196,0.110,10.067,-2.000
AI,1.249,0.110,6.973,-2.000
AI,1.303,0.110,4.835,-2.000
AI,1.358,0.110,3.336,-2.000
AI,1.413,0.001,2.297,-2.000
AI,1.358,0.001,12.547,-2.000
AI,1.308,0.001,8.733,-2.000
AI,1.293,0.001,6.137,-2.000
AI,1.284,0.001,4.304,-2.000
AI,1.276,0.076,3.017,-2.000
AI,1.269,0.076,5.750,-2.000
AI,1.261,0.076,4.031,-2.000
AI,1.253,0.076,2.824,-2.000
AI,1.245,0.076,1.978,-2.000
AI,1.238,0.119,1.384,-2.000
AI,1.241,0.119,12.290,-2.000
AI,1.245,0.119,8.558,-2.000
AI,1.249,0.119,6.000,-2.000
AI,1.253,0.119,4.196,-2.000
AI,1.258,0.023,2.931,-2.000
AI,1.251,0.023,13.649,-2.000
AI,1.250,0.023,9.545,-2.000
AI,1.250,0.023,6.659,-2.000
AI,1.250,0.023,4.666,-2.000
AI,1.250,0.116,3.266,-2.000
