Label,Distance,StrafingIntensity,AngularVelocity
AI,5.444,0.118,5.479
AI,5.398,0.118,3.892
AI,5.352,0.118,2.794
AI,5.307,0.118,2.046
AI,5.261,0.033,1.549
AI,5.177,0.033,3.839
AI,5.093,0.033,2.735
AI,5.009,0.033,1.970
AI,4.925,0.033,1.444
AI,4.840,0.054,1.087
AI,4.894,0.054,3.025
AI,4.890,0.054,2.174
AI,4.886,0.054,1.609
AI,4.883,0.054,1.251
AI,4.880,0.072,1.043
AI,4.890,0.072,4.444
AI,4.900,0.072,3.157
AI,4.909,0.072,2.271
AI,4.919,0.072,1.673
AI,4.929,0.094,1.280
AI,4.913,0.094,9.729
AI,4.897,0.094,6.810
AI,4.881,0.094,4.805
AI,4.866,0.094,3.414
AI,4.851,0.046,2.463
AI,4.907,0.046,3.697
AI,4.965,0.046,2.571
AI,5.027,0.046,1.792
AI,5.090,0.046,1.269
AI,5.154,0.059,0.941
AI,5.205,0.059,4.136
AI,5.256,0.059,2.898
AI,5.308,0.059,2.037
AI,5.362,0.059,1.447
AI,5.416,0.080,1.052
AI,5.436,0.080,2.683
AI,5.457,0.080,1.884
AI,5.478,0.080,1.337
AI,5.498,0.080,0.972
AI,5.520,0.121,0.739
AI,5.524,0.121,3.236
AI,5.530,0.121,2.344
AI,5.536,0.121,1.744
AI,5.543,0.121,1.354
AI,5.550,0.160,1.114
AI,5.542,0.160,7.353
AI,5.535,0.160,5.183
AI,5.528,0.160,3.671
AI,5.521,0.160,2.629
AI,5.514,0.134,1.926
AI,5.512,0.134,2.372
AI,5.509,0.134,1.756
AI,5.507,0.134,1.362
AI,5.505,0.134,1.124
AI,5.502,0.150,0.989
AI,5.437,0.150,4.009
AI,5.372,0.150,2.872
AI,5.307,0.150,2.091
AI,5.241,0.150,1.562
AI,5.175,0.156,1.215
AI,5.201,0.156,2.488
AI,5.228,0.156,1.840
AI,5.254,0.156,1.419
AI,5.281,0.156,1.160
AI,5.307,0.154,1.011
AI,5.287,0.154,2.710
AI,5.268,0.154,2.001
AI,5.248,0.154,1.538
AI,5.228,0.154,1.249
AI,5.209,0.146,1.080
AI,5.226,0.146,1.298
AI,5.243,0.146,1.069
AI,5.261,0.146,0.951
AI,5.278,0.146,0.896
AI,5.296,0.143,0.876
AI,5.288,0.143,2.921
AI,5.280,0.143,2.179
AI,5.272,0.143,1.687
AI,5.264,0.143,1.372
AI,5.256,0.146,1.178
AI,5.222,0.146,3.586
AI,5.188,0.146,2.609
AI,5.153,0.146,1.950
AI,5.119,0.146,1.519
AI,5.084,0.142,1.247
AI,5.118,0.142,9.404
AI,5.152,0.142,6.632
AI,5.185,0.142,4.685
AI,5.219,0.142,3.331
AI,5.252,0.078,2.405
AI,5.197,0.078,5.702
AI,5.084,0.078,4.070
AI,4.971,0.078,2.945
AI,4.858,0.078,2.185
AI,4.746,0.064,1.689
AI,4.776,0.064,2.694
AI,4.806,0.064,1.955
AI,4.836,0.064,1.477
AI,4.866,0.064,1.186
AI,4.896,0.107,1.021
AI,4.881,0.107,3.041
AI,4.869,0.107,2.304
AI,4.859,0.107,1.855
AI,4.851,0.107,1.608
AI,4.845,0.118,1.489
AI,4.872,0.118,5.234
AI,4.896,0.118,3.731
AI,4.919,0.118,2.682
AI,4.940,0.118,1.955
AI,4.960,0.002,1.456
AI,5.092,0.002,1.324
AI,5.225,0.002,0.908
AI,5.359,0.002,0.614
AI,5.492,0.002,0.411
AI,5.626,0.096,0.280
AI,5.646,0.096,5.007
AI,5.666,0.096,3.510
AI,5.688,0.096,2.467
AI,5.710,0.096,1.751
AI,5.733,0.075,1.272
AI,5.791,0.075,1.726
AI,5.849,0.075,1.261
AI,5.907,0.075,0.962
AI,5.966,0.075,0.784
AI,6.024,0.152,0.684
AI,5.981,0.152,1.470
AI,5.938,0.152,1.118
AI,5.896,0.152,0.906
AI,5.853,0.152,0.790
AI,5.811,0.169,0.733
AI,5.840,0.169,5.734
AI,5.869,0.169,4.048
AI,5.898,0.169,2.878
AI,5.927,0.169,2.078
AI,5.956,0.141,1.543
AI,5.904,0.141,1.855
AI,5.852,0.141,1.411
AI,5.800,0.141,1.123
AI,5.748,0.141,0.945
AI,5.696,0.170,0.840
AI,5.703,0.170,1.739
AI,5.710,0.170,1.350
AI,5.718,0.170,1.110
AI,5.726,0.170,0.970
AI,5.734,0.153,0.895
AI,5.700,0.153,2.310
AI,5.667,0.153,1.717
AI,5.633,0.153,1.332
AI,5.600,0.153,1.094
AI,5.566,0.167,0.956
AI,5.556,0.167,4.049
AI,5.546,0.167,2.899
AI,5.536,0.167,2.118
AI,5.526,0.167,1.601
AI,5.516,0.149,1.273
AI,5.520,0.149,2.200
AI,5.523,0.149,1.633
AI,5.527,0.149,1.275
AI,5.531,0.149,1.065
AI,5.535,0.151,0.951
AI,5.489,0.151,9.207
AI,5.443,0.151,6.477
AI,5.397,0.151,4.559
AI,5.351,0.151,3.224
AI,5.304,0.113,2.309
AI,5.296,0.113,4.907
AI,5.288,0.113,3.501
AI,5.280,0.113,2.537
AI,5.272,0.113,1.890
AI,5.264,0.143,1.471
AI,5.252,0.143,10.752
AI,5.180,0.143,7.589
AI,5.109,0.143,5.423
AI,5.038,0.143,3.917
AI,4.968,0.023,2.886
AI,4.853,0.023,3.543
AI,4.737,0.023,2.489
AI,4.621,0.023,1.744
AI,4.504,0.023,1.218
AI,4.388,0.026,5.620
AI,3.858,0.026,4.698
AI,3.338,0.026,3.292
AI,2.829,0.026,2.305
AI,2.336,0.026,1.614
AI,1.866,0.026,1.128
AI,1.420,0.100,5.360
AI,1.534,0.100,7.263
AI,1.644,0.100,5.418
AI,1.750,0.100,4.115
AI,1.853,0.040,3.193
AI,1.736,0.040,2.188
AI,1.625,0.040,1.276
AI,1.520,0.040,0.683
AI,1.422,0.040,0.849
AI,1.333,0.114,1.445
AI,1.317,0.114,2.959
AI,1.305,0.114,2.016
AI,1.296,0.114,1.449
AI,1.289,0.114,1.229
AI,1.285,0.064,1.255
AI,1.200,0.064,7.845
AI,1.198,0.064,5.515
AI,1.222,0.064,3.872
AI,1.247,0.064,2.718
AI,1.269,0.003,1.909
AI,1.287,0.003,27.724
AI,1.299,0.003,19.423
AI,1.305,0.003,13.611
AI,1.305,0.003,9.495
AI,1.300,0.027,6.685
AI,1.298,0.027,20.559
AI,1.296,0.027,14.386
AI,1.295,0.027,10.066
AI,1.293,0.027,7.024
AI,1.291,0.004,4.926
AI,1.374,0.004,4.944
AI,1.459,0.004,3.429
AI,1.545,0.004,2.389
AI,1.631,0.004,1.690
AI,1.718,0.077,1.239
AI,1.782,0.077,7.516
AI,1.849,0.077,5.277
AI,1.919,0.077,3.731
AI,1.991,0.077,2.689
AI,2.064,0.017,2.015
AI,2.157,0.017,9.922
AI,2.249,0.017,6.934
AI,2.342,0.017,4.872
AI,2.435,0.017,3.421
AI,2.529,0.024,2.404
AI,2.622,0.024,4.289
AI,2.715,0.024,3.009
AI,2.808,0.024,2.114
AI,2.901,0.024,1.488
AI,2.994,0.033,1.053
AI,3.086,0.033,2.312
AI,3.178,0.033,1.650
AI,3.270,0.033,1.192
AI,3.362,0.033,0.877
