Label,Distance,StrafingIntensity,AngularVelocity,ReactionTime
Human,5.072,0.996,0.934,-2.000
Human,5.073,0.996,0.935,-2.000
Human,5.074,0.996,0.937,-2.000
Human,5.075,0.996,0.938,-2.000
Human,5.075,0.996,0.939,-2.000
Human,5.076,0.996,0.939,-2.000
Human,5.077,0.996,0.940,-2.000
Human,5.078,0.996,0.941,-2.000
Human,5.079,0.996,0.941,-2.000
Human,5.080,0.996,0.942,-2.000
Human,5.081,0.996,0.942,-2.000
Human,5.082,0.996,0.942,-2.000
Human,5.083,0.996,0.942,-2.000
Human,5.084,0.996,0.942,-2.000
Human,5.084,0.996,0.942,-2.000
Human,5.085,0.996,0.942,-2.000
Human,5.086,0.996,0.942,-2.000
Human,5.087,0.996,0.942,-2.000
Human,5.088,0.996,0.942,-2.000
Human,5.089,0.996,0.941,-2.000
Human,5.090,0.996,0.942,-2.000
Human,5.091,0.996,0.942,-2.000
Human,5.092,0.996,0.941,-2.000
Human,5.092,0.996,0.940,-2.000
Human,5.093,0.996,0.940,-2.000
Human,5.094,0.996,0.940,-2.000
Human,5.095,0.996,0.940,-2.000
Human,5.096,0.996,0.940,-2.000
Human,5.097,0.094,0.939,0.020
Human,4.477,0.094,4.701,-2.000
Human,3.863,0.094,0.000,-2.000
Human,3.257,0.094,0.000,-2.000
Human,2.661,0.094,0.000,-2.000
Human,2.084,0.094,0.000,-2.000
Human,1.532,0.000,0.000,-2.000
Human,1.524,0.000,2.241,-2.000
Human,1.518,0.000,2.282,-2.000
Human,1.515,0.000,2.398,-2.000
Human,1.459,0.000,2.517,-2.000
Human,1.403,0.000,2.330,-2.000
Human,1.348,0.000,2.215,-2.000
Human,1.293,0.000,2.147,-2.000
Human,1.239,0.000,2.107,-2.000
Human,1.278,0.000,2.084,-2.000
Human,1.319,0.000,2.199,-2.000
Human,1.361,0.000,2.279,-2.000
Human,1.404,0.000,2.330,-2.000
Human,1.449,0.000,2.357,-2.000
Human,1.395,0.000,2.366,-2.000
Human,1.341,0.000,2.289,-2.000
Human,1.316,0.000,2.238,-2.000
Human,1.310,0.000,2.150,-2.000
Human,1.309,0.000,2.086,-2.000
Human,1.308,0.000,2.043,-2.000
Human,1.307,0.000,2.023,-2.000
Human,1.306,0.000,2.011,-2.000
Human,1.305,0.000,1.062,-2.000
Human,1.304,0.000,3.066,-2.000
Human,1.305,0.000,4.498,-2.000
Human,1.306,0.000,5.498,-2.000
Human,1.306,0.000,6.200,-2.000
Human,1.307,0.000,6.692,-2.000
Human,1.307,0.000,7.038,-2.000
Human,1.307,0.000,7.281,-2.000
Human,1.307,0.000,7.451,-2.000
Human,1.307,0.000,7.571,-2.000
Human,1.307,0.000,7.655,-2.000
Human,1.307,0.000,7.714,-2.000
Human,1.307,0.000,7.756,-2.000
Human,1.307,0.000,7.785,-2.000
Human,1.307,0.000,7.805,-2.000
Human,1.307,0.000,3.915,-2.000
Human,1.307,0.000,1.172,-2.000
Human,1.307,0.000,0.749,-2.000
Human,1.307,0.000,2.095,-2.000
Human,1.307,0.000,3.036,-2.000
Human,1.307,0.000,3.695,-2.000
Human,1.307,0.000,4.156,-2.000
Human,1.307,0.000,4.479,-2.000
Human,1.307,0.000,4.705,-2.000
Human,1.307,0.000,4.864,-2.000
Human,1.307,0.000,4.975,-2.000
Human,1.307,0.000,5.053,-2.000
Human,1.307,0.000,5.107,-2.000
Human,1.307,0.000,5.146,-2.000
Human,1.395,0.000,5.173,-2.000
Human,1.485,0.000,3.626,-2.000
Human,1.575,0.000,2.539,-2.000
Human,1.665,0.000,1.778,-2.000
Human,1.756,0.000,1.244,-2.000
Human,1.848,0.000,0.869,-2.000
Human,1.940,0.000,0.608,-2.000
Human,2.032,0.000,0.426,-2.000
Human,2.124,0.000,0.299,-2.000
Human,2.217,0.000,0.210,-2.000
Human,2.310,0.000,0.150,-2.000
Human,2.403,0.000,0.000,-2.000
Human,2.497,0.000,0.000,-2.000
Human,2.590,0.000,0.000,-2.000
Human,2.684,0.000,0.000,-2.000
Human,2.777,0.000,0.000,-2.000
Human,2.871,0.000,0.000,-2.000
Human,2.965,0.000,0.000,-2.000
Human,3.059,0.000,0.000,-2.000
Human,3.153,0.000,0.000,-2.000
Human,3.247,0.000,0.000,-2.000
Human,3.341,0.000,0.000,-2.000
Human,3.435,0.000,0.000,-2.000
Human,3.530,0.000,0.000,-2.000
Human,3.567,0.005,0.000,-2.000
Human,3.605,0.009,0.000,-2.000
Human,3.643,0.012,0.000,-2.000
Human,3.681,0.015,0.000,-2.000
Human,3.718,0.016,0.142,-2.000
Human,3.755,0.017,0.158,-2.000
Human,3.793,0.018,0.169,-2.000
Human,3.830,0.019,0.179,-2.000
Human,3.867,0.020,0.189,-2.000
Human,3.905,0.020,0.195,-2.000
Human,3.942,0.020,0.195,-2.000
Human,3.979,0.020,0.195,-2.000
Human,4.016,0.020,0.195,-2.000
Human,4.054,0.020,0.198,-2.000
Human,4.091,0.020,0.201,-2.000
Human,4.128,0.020,0.204,-2.000
Human,4.166,0.020,0.198,-2.000
Human,4.203,0.020,0.195,-2.000
Human,4.241,0.020,0.198,-2.000
Human,4.288,0.025,0.201,-2.000
Human,4.336,0.028,0.244,-2.000
Human,4.384,0.031,0.280,-2.000
Human,4.432,0.034,0.309,-2.000
Human,4.481,0.035,0.333,-2.000
Human,4.529,0.036,0.350,-1.000
Human,4.576,0.037,0.362,-2.000
Human,4.624,0.038,0.370,-2.000
Human,4.673,0.038,0.378,-2.000
Human,4.721,0.039,0.383,-2.000
Human,4.816,0.031,0.386,-2.000
Human,4.911,0.025,0.309,-2.000
Human,5.006,0.020,0.249,-2.000
Human,5.101,1.000,0.198,-2.000
Human,5.102,1.000,0.158,-2.000
Human,5.102,1.000,0.000,-2.000
Human,5.103,0.999,0.234,-2.000
Human,5.104,0.999,0.375,-2.000
Human,5.105,0.998,0.488,-2.000
Human,5.106,0.998,0.579,-2.000
Human,5.107,0.997,0.651,-2.000
Human,5.108,0.997,0.708,-2.000
Human,5.109,0.997,0.753,-2.000
Human,5.110,0.997,0.790,-2.000
Human,5.110,0.996,0.820,-2.000
Human,5.111,0.996,0.843,-2.000
Human,5.112,0.996,0.862,-2.000
Human,5.113,0.996,0.877,-2.000
Human,5.114,0.996,0.888,-2.000
Human,5.115,0.996,0.898,-2.000
Human,5.116,0.996,0.906,-2.000
Human,5.117,0.996,0.912,-2.000
Human,5.118,0.996,0.916,-2.000
Human,5.118,0.996,0.920,-2.000
Human,5.119,0.996,0.923,-2.000
Human,5.120,0.996,0.926,-2.000
Human,5.121,0.996,0.927,-2.000
Human,5.122,0.996,0.929,-2.000
Human,5.123,0.996,0.930,-2.000
Human,5.124,0.996,0.931,-2.000
Human,5.125,0.996,0.932,-2.000
Human,5.126,0.996,0.932,-2.000
Human,5.126,0.996,0.932,-2.000
Human,5.127,0.996,0.933,-2.000
Human,5.128,0.996,0.933,-2.000
Human,5.129,0.996,0.933,-2.000
Human,5.130,0.996,0.934,-2.000
Human,5.131,0.996,0.934,-2.000
Human,5.132,0.996,0.933,-2.000
Human,5.133,0.996,0.933,-2.000
Human,5.134,0.996,0.933,-2.000
Human,5.134,0.996,0.933,-2.000
Human,5.135,0.996,0.933,-2.000
Human,5.136,0.996,0.933,-2.000
Human,5.137,0.996,0.932,-2.000
Human,5.138,0.996,0.932,-2.000
Human,5.139,0.996,0.932,-2.000
Human,5.140,0.996,0.932,-2.000
Human,5.141,0.996,0.932,-2.000
Human,5.141,0.996,0.932,-2.000
Human,5.142,0.093,0.932,0.020
Human,4.493,0.093,4.659,-2.000
Human,3.849,0.093,0.000,-2.000
Human,3.212,0.093,0.000,-2.000
Human,2.584,0.093,0.000,-2.000
Human,2.015,0.093,0.000,-2.000
Human,1.463,0.000,0.000,-2.000
Human,1.461,0.000,0.397,-2.000
Human,1.462,0.000,0.957,-2.000
Human,1.465,0.000,1.444,-2.000
Human,1.439,0.000,1.808,-2.000
Human,1.415,0.000,1.615,-2.000
Human,1.394,0.000,1.635,-2.000
Human,1.375,0.000,1.767,-2.000
Human,1.358,0.000,1.938,-2.000
Human,1.313,0.000,2.114,-2.000
Human,1.270,0.000,1.957,-2.000
Human,1.228,0.000,1.911,-2.000
Human,1.218,0.000,1.941,-2.000
Human,1.224,0.000,1.947,-2.000
Human,1.220,0.000,1.951,-2.000
Human,1.213,0.000,1.954,-2.000
Human,1.207,0.000,1.957,-2.000
Human,1.201,0.000,1.958,-2.000
Human,1.194,0.000,1.960,-2.000
Human,1.179,0.000,1.960,-2.000
Human,1.162,0.000,1.961,-2.000
Human,1.144,0.000,1.961,-2.000
Human,1.126,0.000,0.983,-2.000
Human,1.130,0.000,3.044,-2.000
Human,1.182,0.000,4.483,-2.000
Human,1.231,0.000,5.490,-2.000
Human,1.267,0.000,6.196,-2.000
Human,1.291,0.000,6.690,-2.000
Human,1.302,0.000,7.036,-2.000
Human,1.303,0.000,7.280,-2.000
Human,1.303,0.000,7.450,-2.000
Human,1.303,0.000,7.570,-2.000
Human,1.303,0.000,7.655,-2.000
Human,1.303,0.000,7.714,-2.000
Human,1.303,0.000,7.755,-2.000
Human,1.303,0.000,7.785,-2.000
Human,1.303,0.000,7.805,-2.000
Human,1.303,0.000,3.915,-2.000
Human,1.303,0.000,1.172,-2.000
Human,1.303,0.000,0.749,-2.000
Human,1.303,0.000,2.095,-2.000
Human,1.303,0.000,3.036,-2.000
Human,1.303,0.000,3.695,-2.000
Human,1.303,0.000,4.156,-2.000
Human,1.303,0.000,4.479,-2.000
Human,1.303,0.000,4.705,-2.000
Human,1.303,0.000,4.864,-2.000
Human,1.303,0.000,4.975,-2.000
Human,1.303,0.000,5.053,-2.000
Human,1.303,0.000,5.108,-2.000
Human,1.303,0.000,5.146,-2.000
Human,1.392,0.000,5.173,-2.000
Human,1.481,0.000,3.626,-2.000
Human,1.571,0.000,2.540,-2.000
Human,1.661,0.000,1.778,-2.000
Human,1.753,0.000,1.243,-2.000
Human,1.844,0.000,0.869,-2.000
Human,1.936,0.000,0.608,-2.000
Human,2.028,0.000,0.426,-2.000
Human,2.121,0.000,0.297,-2.000
Human,2.213,0.000,0.207,-2.000
Human,2.306,0.000,0.142,-2.000
Human,2.399,0.000,0.000,-2.000
Human,2.493,0.000,0.000,-2.000
Human,2.586,0.000,0.000,-2.000
Human,2.680,0.000,0.000,-2.000
Human,2.773,0.000,0.000,-2.000
Human,2.867,0.000,0.000,-2.000
Human,2.961,0.000,0.000,-2.000
Human,3.055,0.000,0.000,-2.000
Human,3.149,0.000,0.000,-2.000
Human,3.243,0.000,0.000,-2.000
Human,3.337,0.000,0.000,-2.000
Human,3.432,0.000,0.000,-2.000
Human,3.526,0.000,0.000,-2.000
Human,3.677,0.005,0.000,-2.000
Human,3.829,0.008,0.000,-2.000
Human,3.981,0.011,0.000,-2.000
Human,4.133,0.012,0.000,-2.000
Human,4.169,0.007,0.000,-2.000
Human,4.205,0.002,0.000,-2.000
Human,4.242,0.001,0.000,-2.000
Human,4.278,0.004,0.000,-2.000
Human,4.315,0.006,0.000,-2.000
Human,4.350,0.004,0.000,-2.000
Human,4.385,0.002,0.000,-2.000
Human,4.421,0.001,0.000,-2.000
Human,4.456,0.000,0.000,-2.000
Human,4.491,0.001,0.000,-2.000
Human,4.529,0.003,0.000,-2.000
Human,4.567,0.007,0.000,-2.000
Human,4.605,0.009,0.000,-2.000
Human,4.644,0.012,0.000,-2.000
Human,4.682,0.014,0.000,-2.000
Human,4.761,0.023,0.000,-2.000
Human,4.841,0.030,0.226,-2.000
Human,4.922,0.036,0.303,-2.000
Human,5.004,0.041,0.360,-2.000
Human,5.086,0.999,0.406,-2.000
Human,5.041,0.999,0.441,-1.000
Human,4.995,0.049,0.463,-2.000
Human,5.044,1.000,0.485,-2.000
Human,4.999,0.036,0.313,-2.000
Human,5.047,1.000,0.364,-2.000
Human,5.048,0.999,0.213,-2.000
Human,5.049,0.999,0.360,-2.000
Human,5.050,0.998,0.478,-2.000
Human,5.051,0.998,0.574,-2.000
Human,5.052,0.997,0.649,-2.000
Human,5.053,0.997,0.708,-2.000
Human,5.054,0.997,0.756,-2.000
Human,5.055,0.997,0.793,-2.000
Human,5.056,0.996,0.824,-2.000
Human,5.056,0.996,0.849,-2.000
Human,5.057,0.996,0.869,-2.000
Human,5.058,0.996,0.884,-2.000
Human,5.059,0.996,0.896,-2.000
Human,5.060,0.996,0.906,-2.000
Human,5.061,0.996,0.913,-2.000
Human,5.062,0.996,0.920,-2.000
Human,5.063,0.996,0.925,-2.000
Human,5.064,0.996,0.929,-2.000
Human,5.064,0.996,0.932,-2.000
Human,5.065,0.996,0.935,-2.000
Human,5.066,0.996,0.937,-2.000
Human,5.067,0.996,0.938,-2.000
Human,5.068,0.996,0.939,-2.000
Human,5.069,0.996,0.940,-2.000
Human,5.070,0.996,0.942,-2.000
Human,5.071,0.996,0.942,-2.000
