Label,Distance,StrafingIntensity,AngularVelocity,ReactionTime
AI,2.163,0.136,12.643,-2.000
AI,2.171,0.136,8.780,-2.000
AI,2.177,0.136,6.136,-2.000
AI,2.180,0.133,4.269,-2.000
AI,2.183,0.133,12.026,-2.000
AI,2.184,0.133,8.377,-2.000
AI,2.182,0.133,5.876,-2.000
AI,2.179,0.133,4.113,-2.000
AI,2.174,0.118,2.878,-2.000
AI,2.166,0.118,17.056,-2.000
AI,2.157,0.118,11.815,-2.000
AI,2.145,0.118,8.107,-2.000
AI,2.132,0.118,5.556,-2.000
AI,2.116,0.099,3.747,-2.000
AI,2.087,0.099,5.189,-2.000
AI,2.057,0.099,3.794,-2.000
AI,2.024,0.099,2.827,-2.000
AI,1.990,0.099,2.163,-2.000
AI,1.954,0.184,1.713,-2.000
AI,1.914,0.184,8.108,-1.000
AI,1.873,0.184,5.978,-2.000
AI,1.831,0.184,4.505,-2.000
AI,1.788,0.184,3.500,-2.000
AI,1.744,0.173,2.827,-2.000
AI,1.698,0.173,19.451,-2.000
AI,1.651,0.173,13.331,-2.000
AI,1.605,0.173,9.034,-2.000
AI,1.559,0.173,6.004,-2.000
AI,1.513,0.177,3.932,-2.000
AI,1.499,0.177,23.467,-2.000
AI,1.486,0.177,16.893,-2.000
AI,1.474,0.177,12.338,-2.000
AI,1.465,0.177,9.183,-2.000
AI,1.458,0.164,7.078,-2.000
AI,1.383,0.164,8.549,-2.000
AI,1.314,0.164,6.408,-2.000
AI,1.253,0.164,5.179,-2.000
AI,1.247,0.164,3.864,-2.000
AI,1.267,0.186,2.872,-2.000
AI,1.255,0.186,8.191,-2.000
AI,1.244,0.186,6.970,-2.000
AI,1.244,0.186,6.198,-2.000
AI,1.254,0.186,5.713,-2.000
AI,1.274,0.198,5.401,-2.000
AI,1.318,0.198,5.718,-2.000
AI,1.371,0.198,4.056,-2.000
AI,1.433,0.198,3.318,-2.000
AI,1.505,0.198,3.130,-2.000
AI,1.584,0.214,3.143,-2.000
AI,1.662,0.214,10.148,-2.000
AI,1.663,0.214,6.928,-2.000
AI,3.640,0.000,23.597,-2.000
AI,3.640,0.000,19.820,-2.000
AI,3.640,0.153,15.233,-2.000
AI,3.605,0.153,28.740,-2.000
AI,3.556,0.153,19.447,-2.000
AI,3.498,0.153,13.106,-2.000
AI,3.435,0.153,8.822,-2.000
AI,3.367,0.247,5.892,-2.000
AI,3.339,0.247,44.230,-2.000
AI,3.312,0.247,31.203,-2.000
AI,3.286,0.247,22.022,-2.000
AI,3.261,0.247,15.545,-2.000
AI,3.237,0.217,10.972,-2.000
AI,3.212,0.217,30.510,-2.000
AI,3.189,0.217,21.349,-2.000
AI,3.166,0.217,14.940,-2.000
AI,3.143,0.217,10.459,-2.000
AI,3.120,0.167,7.303,-2.000
AI,3.099,0.167,14.181,-2.000
AI,3.078,0.167,9.947,-2.000
AI,3.057,0.167,6.971,-2.000
AI,3.037,0.167,4.923,-2.000
AI,3.016,0.069,3.486,-2.000
AI,3.000,0.069,9.953,-2.000
AI,2.984,0.069,6.948,-2.000
AI,2.968,0.069,4.874,-2.000
AI,2.952,0.069,3.415,-2.000
AI,2.936,0.638,2.391,-2.000
AI,2.900,0.638,18.045,-2.000
AI,2.866,0.638,12.561,-2.000
AI,2.833,0.638,8.685,-2.000
AI,2.800,0.638,6.036,-2.000
AI,2.769,0.044,4.177,-2.000
AI,2.755,0.044,42.346,-2.000
AI,2.742,0.044,29.617,-2.000
AI,2.728,0.044,20.713,-2.000
AI,2.714,0.044,14.487,-2.000
AI,2.701,0.324,10.132,-2.000
AI,2.674,0.324,40.734,-2.000
AI,2.647,0.324,28.553,-2.000
AI,2.621,0.324,20.029,-2.000
AI,2.594,0.324,14.065,-2.000
AI,2.568,0.150,9.895,-2.000
AI,2.565,0.150,25.865,-2.000
AI,2.563,0.150,18.097,-2.000
AI,2.560,0.150,12.660,-2.000
AI,2.557,0.150,8.818,-2.000
AI,2.555,0.065,6.191,-2.000
AI,2.608,0.065,11.213,-2.000
AI,2.662,0.065,7.823,-2.000
AI,2.715,0.065,5.490,-2.000
AI,2.769,0.065,3.846,-2.000
AI,2.823,0.171,2.691,-2.000
AI,2.807,0.171,21.118,-2.000
AI,2.792,0.171,14.784,-2.000
AI,2.780,0.171,10.351,-2.000
AI,2.769,0.171,7.228,-2.000
AI,2.760,0.377,5.075,-2.000
AI,2.777,0.377,35.863,-2.000
AI,2.797,0.377,25.024,-2.000
AI,2.819,0.377,17.428,-2.000
AI,2.844,0.377,12.106,-2.000
AI,2.871,0.228,8.344,-2.000
AI,2.900,0.228,20.003,-2.000
AI,2.932,0.228,14.154,-2.000
AI,2.967,0.228,10.063,-2.000
AI,3.003,0.228,7.187,-2.000
AI,3.042,0.209,5.202,-2.000
AI,3.078,0.209,16.529,-2.000
AI,3.117,0.209,11.535,-2.000
AI,3.158,0.209,8.013,-2.000
AI,3.201,0.209,5.599,-2.000
AI,3.246,0.400,3.897,-2.000
AI,3.313,0.400,42.764,-2.000
AI,3.383,0.400,29.959,-2.000
AI,3.455,0.400,20.996,-2.000
AI,3.529,0.400,14.721,-2.000
AI,3.606,0.080,10.328,-2.000
AI,3.655,0.080,42.227,-2.000
AI,3.707,0.080,29.630,-2.000
AI,3.761,0.080,20.819,-2.000
AI,3.817,0.080,14.657,-2.000
AI,3.876,0.087,10.348,-2.000
AI,3.941,0.087,6.007,-2.000
AI,4.010,0.087,4.324,-2.000
AI,4.080,0.087,3.145,-2.000
AI,4.153,0.087,2.321,-2.000
AI,4.229,0.066,1.746,-2.000
AI,4.287,0.066,43.236,-2.000
AI,4.348,0.066,30.198,-2.000
AI,4.412,0.066,21.071,-2.000
AI,4.478,0.066,14.683,-2.000
AI,4.546,0.091,10.212,-2.000
AI,4.610,0.091,29.401,-2.000
AI,4.677,0.091,20.604,-2.000
AI,4.747,0.091,14.448,-2.000
AI,4.819,0.091,10.140,-2.000
AI,4.894,0.034,7.108,-2.000
AI,5.022,0.034,16.512,-2.000
AI,5.153,0.034,11.574,-1.000
AI,5.287,0.034,8.090,-2.000
AI,5.423,0.034,5.699,-2.000
AI,5.562,0.115,4.014,-2.000
AI,5.651,0.115,21.988,-2.000
AI,5.628,0.115,15.389,-2.000
AI,5.553,0.115,10.763,-2.000
AI,5.478,0.115,7.504,-2.000
AI,5.404,0.258,5.260,-2.000
AI,5.426,0.258,4.069,-2.000
AI,5.447,0.258,2.871,-2.000
AI,5.469,0.258,2.036,-2.000
AI,5.491,0.258,1.457,-2.000
AI,5.514,0.073,1.056,-2.000
AI,5.468,0.073,8.928,-2.000
AI,5.422,0.073,6.312,-2.000
AI,5.376,0.073,4.471,-2.000
AI,5.331,0.073,3.182,-2.000
AI,5.286,0.113,2.283,-2.000
AI,5.272,0.113,11.605,-2.000
AI,5.259,0.113,8.108,-2.000
AI,5.246,0.113,5.709,-2.000
AI,5.233,0.113,4.021,-2.000
AI,5.221,0.301,2.839,-2.000
AI,5.174,0.301,29.867,-2.000
AI,5.128,0.301,20.950,-2.000
AI,5.082,0.301,14.712,-2.000
